# beardifier compute golden (BeardProbe)
# affected -54 -84 -54 82 36 71
-70 -95 -70 0000000000000000
-70 -95 -63 0000000000000000
-70 -95 -56 0000000000000000
-70 -95 -49 0000000000000000
-70 -95 -42 0000000000000000
-70 -95 -35 0000000000000000
-70 -95 -28 0000000000000000
-70 -95 -21 0000000000000000
-70 -95 -14 0000000000000000
-70 -95 -7 0000000000000000
-70 -95 0 0000000000000000
-70 -95 7 0000000000000000
-70 -95 14 0000000000000000
-70 -95 21 0000000000000000
-70 -95 28 0000000000000000
-70 -95 35 0000000000000000
-70 -95 42 0000000000000000
-70 -95 49 0000000000000000
-70 -95 56 0000000000000000
-70 -95 63 0000000000000000
-70 -95 70 0000000000000000
-70 -95 77 0000000000000000
-70 -95 84 0000000000000000
-70 -95 91 0000000000000000
-70 -95 98 0000000000000000
-70 -92 -70 0000000000000000
-70 -92 -63 0000000000000000
-70 -92 -56 0000000000000000
-70 -92 -49 0000000000000000
-70 -92 -42 0000000000000000
-70 -92 -35 0000000000000000
-70 -92 -28 0000000000000000
-70 -92 -21 0000000000000000
-70 -92 -14 0000000000000000
-70 -92 -7 0000000000000000
-70 -92 0 0000000000000000
-70 -92 7 0000000000000000
-70 -92 14 0000000000000000
-70 -92 21 0000000000000000
-70 -92 28 0000000000000000
-70 -92 35 0000000000000000
-70 -92 42 0000000000000000
-70 -92 49 0000000000000000
-70 -92 56 0000000000000000
-70 -92 63 0000000000000000
-70 -92 70 0000000000000000
-70 -92 77 0000000000000000
-70 -92 84 0000000000000000
-70 -92 91 0000000000000000
-70 -92 98 0000000000000000
-70 -89 -70 0000000000000000
-70 -89 -63 0000000000000000
-70 -89 -56 0000000000000000
-70 -89 -49 0000000000000000
-70 -89 -42 0000000000000000
-70 -89 -35 0000000000000000
-70 -89 -28 0000000000000000
-70 -89 -21 0000000000000000
-70 -89 -14 0000000000000000
-70 -89 -7 0000000000000000
-70 -89 0 0000000000000000
-70 -89 7 0000000000000000
-70 -89 14 0000000000000000
-70 -89 21 0000000000000000
-70 -89 28 0000000000000000
-70 -89 35 0000000000000000
-70 -89 42 0000000000000000
-70 -89 49 0000000000000000
-70 -89 56 0000000000000000
-70 -89 63 0000000000000000
-70 -89 70 0000000000000000
-70 -89 77 0000000000000000
-70 -89 84 0000000000000000
-70 -89 91 0000000000000000
-70 -89 98 0000000000000000
-70 -86 -70 0000000000000000
-70 -86 -63 0000000000000000
-70 -86 -56 0000000000000000
-70 -86 -49 0000000000000000
-70 -86 -42 0000000000000000
-70 -86 -35 0000000000000000
-70 -86 -28 0000000000000000
-70 -86 -21 0000000000000000
-70 -86 -14 0000000000000000
-70 -86 -7 0000000000000000
