# hyperchunk stage completion log v1
# every generation-step completion in the dump dimension, all chunks,
#   in completion order (ChunkStep.apply future continuation)
# columns stageIndex stageName chunkX chunkZ featuresSeq nanos
01 structure_starts -11 -9 0 1429470780449764
01 structure_starts -11 -8 0 1429470781772281
01 structure_starts -11 -7 0 1429470854235517
01 structure_starts -11 -6 0 1429470854507619
01 structure_starts -11 -5 0 1429470854742845
01 structure_starts -11 -4 0 1429470854994274
01 structure_starts -11 -3 0 1429470855643799
01 structure_starts -11 -2 0 1429470855960320
01 structure_starts -11 -1 0 1429470856253933
01 structure_starts -11 0 0 1429470856460385
01 structure_starts -11 1 0 1429470856613756
01 structure_starts -11 2 0 1429470856745058
01 structure_starts -11 3 0 1429470856888652
01 structure_starts -11 4 0 1429470857149021
01 structure_starts -11 5 0 1429470857321948
01 structure_starts -11 6 0 1429470857950800
01 structure_starts -11 7 0 1429470858214800
01 structure_starts -11 8 0 1429470858418737
01 structure_starts -11 9 0 1429470858656477
01 structure_starts -11 10 0 1429470859094802
01 structure_starts -11 11 0 1429470859373329
01 structure_starts -10 -9 0 1429470859545139
01 structure_starts -10 -8 0 1429470859703260
01 structure_starts -10 -7 0 1429470859884009
01 structure_starts -10 -6 0 1429470860066994
01 structure_starts -10 -5 0 1429470860310880
01 structure_starts -10 -4 0 1429470860449445
01 structure_starts -10 -3 0 1429470860566779
01 structure_starts -10 -2 0 1429470860712608
01 structure_starts -10 -1 0 1429470860907884
01 structure_starts -10 0 0 1429470861083605
01 structure_starts -10 1 0 1429470861263517
01 structure_starts -10 2 0 1429470861400964
01 structure_starts -10 3 0 1429470861528914
01 structure_starts -10 4 0 1429470861634235
01 structure_starts -10 5 0 1429470861738159
01 structure_starts -10 6 0 1429470861839568
01 structure_starts -10 7 0 1429470885558543
01 structure_starts -10 8 0 1429470885773096
01 structure_starts -10 9 0 1429470886130404
01 structure_starts -10 10 0 1429470886302773
01 structure_starts -10 11 0 1429470886503078
01 structure_starts -9 -9 0 1429470886648348
01 structure_starts -9 -8 0 1429470886773783
01 structure_starts -9 -7 0 1429470886955929
01 structure_starts -9 -6 0 1429470887131371
01 structure_starts -9 -5 0 1429470887321619
01 structure_starts -9 -4 0 1429470887475829
01 structure_starts -9 -3 0 1429470887623054
01 structure_starts -9 -2 0 1429470887779220
01 structure_starts -9 -1 0 1429470887963601
01 structure_starts -9 0 0 1429470888159995
01 structure_starts -9 1 0 1429470888313925
01 structure_starts -9 2 0 1429470888460313
01 structure_starts -9 3 0 1429470888562561
01 structure_starts -9 4 0 1429470888669558
01 structure_starts -9 5 0 1429470888769850
01 structure_starts -9 6 0 1429470888887742
01 structure_starts -9 7 0 1429470888994739
01 structure_starts -9 8 0 1429470889522740
01 structure_starts -9 9 0 1429470889645661
01 structure_starts -9 10 0 1429470889733382
01 structure_starts -9 11 0 1429470889826131
01 structure_starts -8 -9 0 1429470889964417
01 structure_starts -8 -8 0 1429470890376481
01 structure_starts -8 -7 0 1429470890864533
01 structure_starts -8 -6 0 1429470891054502
01 structure_starts -8 -5 0 1429470891158984
01 structure_starts -8 -4 0 1429470891274642
01 structure_starts -8 -3 0 1429470891371861
01 structure_starts -8 -2 0 1429470891459302
01 structure_starts -8 -1 0 1429470891550375
01 structure_starts -8 0 0 1429470891692293
01 structure_starts -8 1 0 1429470891773588
01 structure_starts -8 2 0 1429470891868573
01 structure_starts -8 3 0 1429470891959087
01 structure_starts -8 4 0 1429470892153526
01 structure_starts -8 5 0 1429470892300472
01 structure_starts -8 6 0 1429470892389590
01 structure_starts -8 7 0 1429470892490999
01 structure_starts -8 8 0 1429470892579279
01 structure_starts -8 9 0 1429470892673146
01 structure_starts -8 10 0 1429470892784054
01 structure_starts -8 11 0 1429470892947203
01 structure_starts -7 -9 0 1429470893062861
01 structure_starts -7 -8 0 1429470893155331
01 structure_starts -7 -7 0 1429470893258975
01 structure_starts -7 -6 0 1429470893367369
01 structure_starts -7 -5 0 1429470893455090
01 structure_starts -7 -4 0 1429470893541134
01 structure_starts -7 -3 0 1429470893629693
01 structure_starts -7 -2 0 1429470893712106
01 structure_starts -7 -1 0 1429470893790049
01 structure_starts -7 0 0 1429470893871344
01 structure_starts -7 1 0 1429470893967167
01 structure_starts -7 2 0 1429470894091205
01 structure_starts -7 3 0 1429470894180602
01 structure_starts -7 4 0 1429470894264132
01 structure_starts -7 5 0 1429470894356882
01 structure_starts -7 6 0 1429470894440133
01 structure_starts -7 7 0 1429470894525898
01 structure_starts -7 8 0 1429470894672565
01 structure_starts -7 9 0 1429470894759727
01 structure_starts -7 10 0 1429470894844095
01 structure_starts -7 11 0 1429470894930140
01 structure_starts -6 -9 0 1429470895060045
01 structure_starts -6 -8 0 1429470895145251
01 structure_starts -6 -7 0 1429470895291639
01 structure_starts -6 -6 0 1429470895382712
01 structure_starts -6 -5 0 1429470895469595
01 structure_starts -6 -4 0 1429470895551449
01 structure_starts -6 -3 0 1429470895636655
01 structure_starts -6 -2 0 1429470895718230
01 structure_starts -6 -1 0 1429470895805113
01 structure_starts -6 0 0 1429470895887805
01 structure_starts -6 1 0 1429470895974688
01 structure_starts -6 2 0 1429470896098167
01 structure_starts -6 3 0 1429470896188682
01 structure_starts -6 4 0 1429470896281711
01 structure_starts -6 5 0 1429470896365800
01 structure_starts -6 6 0 1429470896451285
01 structure_starts -6 7 0 1429470896534816
01 structure_starts -6 8 0 1429470896665000
01 structure_starts -6 9 0 1429470896798816
01 structure_starts -6 10 0 1429470897412303
01 structure_starts -6 11 0 1429470897584951
01 structure_starts -5 -9 0 1429470897851745
01 structure_starts -5 -8 0 1429470898569994
01 structure_starts -5 -7 0 1429470899145487
01 structure_starts -5 -6 0 1429470899284890
01 structure_starts -5 -5 0 1429470899394122
01 structure_starts -5 -4 0 1429470899500840
01 structure_starts -5 -3 0 1429470899596942
01 structure_starts -5 -2 0 1429470899685780
01 structure_starts -5 -1 0 1429470899770986
01 structure_starts -5 0 0 1429470899864015
01 structure_starts -5 1 0 1429470899950339
01 structure_starts -5 2 0 1429470900147013
01 structure_starts -5 3 0 1429470900249260
01 structure_starts -5 4 0 1429470900342289
01 structure_starts -5 5 0 1429470900472194
01 structure_starts -5 6 0 1429470900597629
01 structure_starts -5 7 0 1429470900681439
01 structure_starts -5 8 0 1429470900816652
01 structure_starts -5 9 0 1429470900906887
01 structure_starts -5 10 0 1429470901006341
01 structure_starts -5 11 0 1429470901154125
01 structure_starts -4 -9 0 1429470901255535
01 structure_starts -4 -8 0 1429470901366443
01 structure_starts -4 -7 0 1429470901470367
01 structure_starts -4 -6 0 1429470901575409
01 structure_starts -4 -5 0 1429470901675422
01 structure_starts -4 -4 0 1429470901785492
01 structure_starts -4 -3 0 1429470901874050
01 structure_starts -4 -2 0 1429470901964006
01 structure_starts -4 -1 0 1429470902115981
01 structure_starts -4 0 0 1429470902197276
01 structure_starts -4 1 0 1429470902288070
01 structure_starts -4 2 0 1429470902374115
01 structure_starts -4 3 0 1429470902461556
01 structure_starts -4 4 0 1429470902553467
01 structure_starts -4 5 0 1429470902638115
01 structure_starts -4 6 0 1429470902712147
01 structure_starts -4 7 0 1429470902797354
01 structure_starts -4 8 0 1429470902873620
01 structure_starts -4 9 0 1429470902970560
01 structure_starts -4 10 0 1429470903131754
01 structure_starts -4 11 0 1429470903237634
01 structure_starts -3 -9 0 1429470903435704
01 structure_starts -3 -8 0 1429470903554993
01 structure_starts -3 -7 0 1429470903805305
01 structure_starts -3 -6 0 1429470903939679
01 structure_starts -3 -5 0 1429470904160378
01 structure_starts -3 -4 0 1429470904320734
01 structure_starts -3 -3 0 1429470904404823
01 structure_starts -3 -2 0 1429470904491706
01 structure_starts -3 -1 0 1429470904658766
01 structure_starts -3 0 0 1429470904767160
01 structure_starts -3 1 0 1429470904900138
01 structure_starts -3 2 0 1429470905064405
01 structure_starts -3 3 0 1429470905168888
01 structure_starts -3 4 0 1429470905252418
01 structure_starts -3 5 0 1429470905368355
01 structure_starts -3 6 0 1429470905844673
01 structure_starts -3 7 0 1429470905954184
01 structure_starts -3 8 0 1429470906122642
01 structure_starts -3 9 0 1429470906236344
01 structure_starts -3 10 0 1429470906342503
01 structure_starts -3 11 0 1429470906437208
01 structure_starts -2 -9 0 1429470906567392
01 structure_starts -2 -8 0 1429470906690033
01 structure_starts -2 -7 0 1429470906781945
01 structure_starts -2 -6 0 1429470906898719
01 structure_starts -2 -5 0 1429470907057958
01 structure_starts -2 -4 0 1429470907164117
01 structure_starts -2 -3 0 1429470907308269
01 structure_starts -2 -2 0 1429470907420016
01 structure_starts -2 -1 0 1429470907591546
01 structure_starts -2 0 0 1429470907718937
01 structure_starts -2 1 0 1429470907877337
01 structure_starts -2 2 0 1429470908084906
01 structure_starts -2 3 0 1429470908182684
01 structure_starts -2 4 0 1429470908386341
01 structure_starts -2 5 0 1429470908474621
