# hyperchunk stage completion log v1
# every generation-step completion in the dump dimension, all chunks,
#   in completion order (ChunkStep.apply future continuation)
# columns stageIndex stageName chunkX chunkZ featuresSeq nanos
01 structure_starts -11 -11 0 1429368353439160
01 structure_starts -11 -10 0 1429368355473501
01 structure_starts -11 -9 0 1429368355869082
01 structure_starts -11 -8 0 1429368356409655
01 structure_starts -11 -7 0 1429368458748260
01 structure_starts -11 -6 0 1429368459192731
01 structure_starts -11 -5 0 1429368460408530
01 structure_starts -11 -4 0 1429368461121471
01 structure_starts -11 -3 0 1429368461538564
01 structure_starts -11 -2 0 1429368461724062
01 structure_starts -11 -1 0 1429368461883859
01 structure_starts -11 0 0 1429368462076622
01 structure_starts -11 1 0 1429368462237816
01 structure_starts -11 2 0 1429368462450972
01 structure_starts -11 3 0 1429368462619150
01 structure_starts -11 4 0 1429368463468142
01 structure_starts -11 5 0 1429368463921831
01 structure_starts -11 6 0 1429368464132194
01 structure_starts -11 7 0 1429368464573871
01 structure_starts -11 8 0 1429368465130646
01 structure_starts -11 9 0 1429368465246304
01 structure_starts -10 -11 0 1429368465354698
01 structure_starts -10 -10 0 1429368465476222
01 structure_starts -10 -9 0 1429368465582381
01 structure_starts -10 -8 0 1429368465721225
01 structure_starts -10 -7 0 1429368465905886
01 structure_starts -10 -6 0 1429368466110661
01 structure_starts -10 -5 0 1429368466223245
01 structure_starts -10 -4 0 1429368466327728
01 structure_starts -10 -3 0 1429368466560998
01 structure_starts -10 -2 0 1429368466666319
01 structure_starts -10 -1 0 1429368466854053
01 structure_starts -10 0 0 1429368466956021
01 structure_starts -10 1 0 1429368467150739
01 structure_starts -10 2 0 1429368467266955
01 structure_starts -10 3 0 1429368467380657
01 structure_starts -10 4 0 1429368467506092
01 structure_starts -10 5 0 1429368467622867
01 structure_starts -10 6 0 1429368467732378
01 structure_starts -10 7 0 1429368496481334
01 structure_starts -10 8 0 1429368496792268
01 structure_starts -10 9 0 1429368496982236
01 structure_starts -9 -11 0 1429368497181983
01 structure_starts -9 -10 0 1429368497306859
01 structure_starts -9 -9 0 1429368497497666
01 structure_starts -9 -8 0 1429368497621146
01 structure_starts -9 -7 0 1429368497746301
01 structure_starts -9 -6 0 1429368497882073
01 structure_starts -9 -5 0 1429368498066454
01 structure_starts -9 -4 0 1429368498262848
01 structure_starts -9 -3 0 1429368498450023
01 structure_starts -9 -2 0 1429368498571268
01 structure_starts -9 -1 0 1429368498697262
01 structure_starts -9 0 0 1429368498981097
01 structure_starts -9 1 0 1429368499165758
01 structure_starts -9 2 0 1429368499322203
01 structure_starts -9 3 0 1429368499652972
01 structure_starts -9 4 0 1429368499756616
01 structure_starts -9 5 0 1429368499852997
01 structure_starts -9 6 0 1429368499983741
01 structure_starts -9 7 0 1429368500186560
01 structure_starts -9 8 0 1429368500306967
01 structure_starts -9 9 0 1429368500434078
01 structure_starts -8 -11 0 1429368500632986
01 structure_starts -8 -10 0 1429368500884415
01 structure_starts -8 -9 0 1429368501523045
01 structure_starts -8 -8 0 1429368501851579
01 structure_starts -8 -7 0 1429368501991262
01 structure_starts -8 -6 0 1429368502186818
01 structure_starts -8 -5 0 1429368502303593
01 structure_starts -8 -4 0 1429368502432380
01 structure_starts -8 -3 0 1429368502558653
01 structure_starts -8 -2 0 1429368502687162
01 structure_starts -8 -1 0 1429368502810362
01 structure_starts -8 0 0 1429368502933841
01 structure_starts -8 1 0 1429368503113753
01 structure_starts -8 2 0 1429368503284166
01 structure_starts -8 3 0 1429368503516319
01 structure_starts -8 4 0 1429368503619405
01 structure_starts -8 5 0 1429368503728636
01 structure_starts -8 6 0 1429368503868319
01 structure_starts -8 7 0 1429368503980904
01 structure_starts -8 8 0 1429368504497730
01 structure_starts -8 9 0 1429368504615902
01 structure_starts -7 -11 0 1429368504739102
01 structure_starts -7 -10 0 1429368513161695
01 structure_starts -7 -9 0 1429368513350547
01 structure_starts -7 -8 0 1429368513427931
01 structure_starts -7 -7 0 1429368513515372
01 structure_starts -7 -6 0 1429368513601138
01 structure_starts -7 -5 0 1429368513685227
01 structure_starts -7 -4 0 1429368513769874
01 structure_starts -7 -3 0 1429368513852287
01 structure_starts -7 -2 0 1429368513938611
01 structure_starts -7 -1 0 1429368514077456
01 structure_starts -7 0 0 1429368514187526
01 structure_starts -7 1 0 1429368514271336
01 structure_starts -7 2 0 1429368514358218
01 structure_starts -7 3 0 1429368514441190
01 structure_starts -7 4 0 1429368514643451
01 structure_starts -7 5 0 1429368514731171
01 structure_starts -7 6 0 1429368514816937
01 structure_starts -7 7 0 1429368514933153
01 structure_starts -7 8 0 1429368515078423
01 structure_starts -7 9 0 1429368515182906
01 structure_starts -6 -11 0 1429368515266436
01 structure_starts -6 -10 0 1429368515446347
01 structure_starts -6 -9 0 1429368515548316
01 structure_starts -6 -8 0 1429368515645814
01 structure_starts -6 -7 0 1429368515735770
01 structure_starts -6 -6 0 1429368515826005
01 structure_starts -6 -5 0 1429368516054247
01 structure_starts -6 -4 0 1429368516163200
01 structure_starts -6 -3 0 1429368516333054
01 structure_starts -6 -2 0 1429368516476648
01 structure_starts -6 -1 0 1429368516598451
01 structure_starts -6 0 0 1429368516710756
01 structure_starts -6 1 0 1429368516835912
01 structure_starts -6 2 0 1429368516952966
01 structure_starts -6 3 0 1429368517135671
01 structure_starts -6 4 0 1429368517244903
01 structure_starts -6 5 0 1429368517436548
01 structure_starts -6 6 0 1429368517550250
01 structure_starts -6 7 0 1429368517955609
01 structure_starts -6 8 0 1429368518353426
01 structure_starts -6 9 0 1429368518484169
01 structure_starts -5 -11 0 1429368519340704
01 structure_starts -5 -10 0 1429368520393633
01 structure_starts -5 -9 0 1429368520599805
01 structure_starts -5 -8 0 1429368520727195
01 structure_starts -5 -7 0 1429368520843970
01 structure_starts -5 -6 0 1429368520954040
01 structure_starts -5 -5 0 1429368521130320
01 structure_starts -5 -4 0 1429368521231450
01 structure_starts -5 -3 0 1429368521363311
01 structure_starts -5 -2 0 1429368521493775
01 structure_starts -5 -1 0 1429368521613902
01 structure_starts -5 0 0 1429368521721737
01 structure_starts -5 1 0 1429368521840747
01 structure_starts -5 2 0 1429368521994118
01 structure_starts -5 3 0 1429368522162855
01 structure_starts -5 4 0 1429368522338297
01 structure_starts -5 5 0 1429368522438310
01 structure_starts -5 6 0 1429368522609840
01 structure_starts -5 7 0 1429368522724659
01 structure_starts -5 8 0 1429368522894514
01 structure_starts -5 9 0 1429368523055708
01 structure_starts -4 -11 0 1429368523185892
01 structure_starts -4 -10 0 1429368523298476
01 structure_starts -4 -9 0 1429368523420000
01 structure_starts -4 -8 0 1429368523518058
01 structure_starts -4 -7 0 1429368523621423
01 structure_starts -4 -6 0 1429368523719760
01 structure_starts -4 -5 0 1429368523813347
01 structure_starts -4 -4 0 1429368523900509
01 structure_starts -4 -3 0 1429368524051646
01 structure_starts -4 -2 0 1429368524170935
01 structure_starts -4 -1 0 1429368524268713
01 structure_starts -4 0 0 1429368524379342
01 structure_starts -4 1 0 1429368524498910
01 structure_starts -4 2 0 1429368524617361
01 structure_starts -4 3 0 1429368524731622
01 structure_starts -4 4 0 1429368524850911
01 structure_starts -4 5 0 1429368524959864
01 structure_starts -4 6 0 1429368525126645
01 structure_starts -4 7 0 1429368525231128
01 structure_starts -4 8 0 1429368525352652
01 structure_starts -4 9 0 1429368525520830
01 structure_starts -3 -11 0 1429368525626430
01 structure_starts -3 -10 0 1429368525749072
01 structure_starts -3 -9 0 1429368525937923
01 structure_starts -3 -8 0 1429368526125377
01 structure_starts -3 -7 0 1429368526310876
01 structure_starts -3 -6 0 1429368526808426
01 structure_starts -3 -5 0 1429368526929671
01 structure_starts -3 -4 0 1429368527119639
01 structure_starts -3 -3 0 1429368527277760
01 structure_starts -3 -2 0 1429368527388668
01 structure_starts -3 -1 0 1429368527495107
01 structure_starts -3 0 0 1429368527613558
01 structure_starts -3 1 0 1429368527749888
01 structure_starts -3 2 0 1429368527863310
01 structure_starts -3 3 0 1429368527975615
01 structure_starts -3 4 0 1429368528530156
01 structure_starts -3 5 0 1429368528670398
01 structure_starts -3 6 0 1429368528793319
01 structure_starts -3 7 0 1429368528918474
01 structure_starts -3 8 0 1429368529091402
01 structure_starts -3 9 0 1429368529256507
01 structure_starts -2 -11 0 1429368529367135
01 structure_starts -2 -10 0 1429368529476647
01 structure_starts -2 -9 0 1429368529587555
01 structure_starts -2 -8 0 1429368529742323
01 structure_starts -2 -7 0 1429368529856584
01 structure_starts -2 -6 0 1429368529988724
01 structure_starts -2 -5 0 1429368530164166
01 structure_starts -2 -4 0 1429368530348547
01 structure_starts -2 -3 0 1429368530591874
01 structure_starts -2 -2 0 1429368530685741
01 structure_starts -2 -1 0 1429368530849170
01 structure_starts -2 0 0 1429368530955329
01 structure_starts -2 1 0 1429368531117361
01 structure_starts -2 2 0 1429368531296714
01 structure_starts -2 3 0 1429368531399241
01 structure_starts -2 4 0 1429368531500930
01 structure_starts -2 5 0 1429368531595356
01 structure_starts -2 6 0 1429368531692295
01 structure_starts -2 7 0 1429368531801248
01 structure_starts -2 8 0 1429368531897908
01 structure_starts -2 9 0 1429368532045414
01 structure_starts -1 -11 0 1429368532166379
01 structure_starts -1 -10 0 1429368532261363
01 structure_starts -1 -9 0 1429368532363052
01 structure_starts -1 -8 0 1429368532472284
01 structure_starts -1 -7 0 1429368532591573
01 structure_starts -1 -6 0 1429368532697732
01 structure_starts -1 -5 0 1429368532810037
01 structure_starts -1 -4 0 1429368532913123
01 structure_starts -1 -3 0 1429368545129781
01 structure_starts -1 -2 0 1429368545384562
01 structure_starts -1 -1 0 1429368545620347
01 structure_starts -1 0 0 1429368585504816
01 structure_starts -1 1 0 1429368592084155
01 structure_starts -1 2 0 1429368596311515
01 structure_starts -1 3 0 1429368596394208
01 structure_starts -1 4 0 1429368596471592
01 structure_starts -1 5 0 1429368596536405
01 structure_starts -1 6 0 1429368596613230
01 structure_starts -1 7 0 1429368596686703
01 structure_starts -1 8 0 1429368596762411
01 structure_starts -1 9 0 1429368596838958
01 structure_starts 0 -11 0 1429368596918856
01 structure_starts 0 -10 0 1429368597121676
01 structure_starts 0 -9 0 1429368597189003
01 structure_starts 0 -8 0 1429368597261917
01 structure_starts 0 -7 0 1429368597337066
01 structure_starts 0 -6 0 1429368597402438
01 structure_starts 0 -5 0 1429368597473956
01 structure_starts 0 -4 0 1429368597549384
01 structure_starts 0 -3 0 1429368597623696
01 structure_starts 0 -2 0 1429368597711416
01 structure_starts 0 -1 0 1429368597800534
01 structure_starts 0 0 0 1429368602651718
01 structure_starts 0 1 0 1429368608850561
01 structure_starts 0 2 0 1429368614172476
01 structure_starts 0 3 0 1429368614265784
01 structure_starts 0 4 0 1429368614349035
01 structure_starts 0 5 0 1429368614433124
01 structure_starts 0 6 0 1429368614792668
01 structure_starts 0 7 0 1429368615433812
01 structure_starts 0 8 0 1429368615811514
01 structure_starts 0 9 0 1429368615915717
01 structure_starts 1 -11 0 1429368616049533
01 structure_starts 1 -10 0 1429368616153737
01 structure_starts 1 -9 0 1429368617103580
01 structure_starts 1 -8 0 1429368620071839
01 structure_starts 1 -7 0 1429368620263205
01 structure_starts 1 -6 0 1429368620388640
01 structure_starts 1 -5 0 1429368620499548
01 structure_starts 1 -4 0 1429368620616044
01 structure_starts 1 -3 0 1429368620720806
01 structure_starts 1 -2 0 1429368620845682
01 structure_starts 1 -1 0 1429368620942901
01 structure_starts 1 0 0 1429368629414663
01 structure_starts 1 1 0 1429368635876110
01 structure_starts 1 2 0 1429368641903703
01 structure_starts 1 3 0 1429368642044503
01 structure_starts 1 4 0 1429368642137811
01 structure_starts 1 5 0 1429368642214078
01 structure_starts 1 6 0 1429368652260344
01 structure_starts 1 7 0 1429368652404776
01 structure_starts 1 8 0 1429368652508980
01 structure_starts 1 9 0 1429368652581894
01 structure_starts 2 -11 0 1429368652642237
01 structure_starts 2 -10 0 1429368652696155
01 structure_starts 2 -9 0 1429368652765437
01 structure_starts 2 -8 0 1429368652817120
01 structure_starts 2 -7 0 1429368652880815
01 structure_starts 2 -6 0 1429368652932219
01 structure_starts 2 -5 0 1429368652995355
01 structure_starts 2 -4 0 1429368653120232
01 structure_starts 2 -3 0 1429368653207673
01 structure_starts 2 -2 0 1429368653492626
01 structure_starts 2 -1 0 1429368653648791
01 structure_starts 2 0 0 1429368653847979
01 structure_starts 2 1 0 1429368653930671
01 structure_starts 2 2 0 1429368654068119
01 structure_starts 2 3 0 1429368654169529
01 structure_starts 2 4 0 1429368654258088
01 structure_starts 2 5 0 1429368661250888
01 structure_starts 2 6 0 1429368661381073
01 structure_starts 2 7 0 1429368661472984
01 structure_starts 2 8 0 1429368661558470
01 structure_starts 2 9 0 1429368661743689
01 structure_starts 3 -11 0 1429368661809899
01 structure_starts 3 -10 0 1429368661902089
01 structure_starts 3 -9 0 1429368661962991
01 structure_starts 3 -8 0 1429368662101836
01 structure_starts 3 -7 0 1429368662172236
01 structure_starts 3 -6 0 1429368662239842
01 structure_starts 3 -5 0 1429368662299906
01 structure_starts 3 -4 0 1429368662356897
01 structure_starts 3 -3 0 1429368662509430
01 structure_starts 3 -2 0 1429368662581786
01 structure_starts 3 -1 0 1429368662642408
01 structure_starts 3 0 0 1429368662699119
01 structure_starts 3 1 0 1429368663270702
01 structure_starts 3 2 0 1429368663654550
01 structure_starts 3 3 0 1429368663786410
01 structure_starts 3 4 0 1429368663873293
01 structure_starts 3 5 0 1429368664130868
01 structure_starts 3 6 0 1429368664231440
01 structure_starts 3 7 0 1429368664316367
01 structure_starts 3 8 0 1429368664386208
01 structure_starts 3 9 0 1429368664478399
01 structure_starts 4 -11 0 1429368664558577
01 structure_starts 4 -10 0 1429368664638196
01 structure_starts 4 -9 0 1429368665073448
01 structure_starts 4 -8 0 1429368665171505
01 structure_starts 4 -7 0 1429368665264534
01 structure_starts 4 -6 0 1429368665345829
01 structure_starts 4 -5 0 1429368665413994
01 structure_starts 4 -4 0 1429368665489423
01 structure_starts 4 -3 0 1429368665576585
01 structure_starts 4 -2 0 1429368665660954
01 structure_starts 4 -1 0 1429368665752306
01 structure_starts 4 0 0 1429368665840306
01 structure_starts 4 1 0 1429368665933056
01 structure_starts 4 2 0 1429368666079164
01 structure_starts 4 3 0 1429368666183367
01 structure_starts 4 4 0 1429368666274440
01 structure_starts 4 5 0 1429368666362161
01 structure_starts 4 6 0 1429368666457425
01 structure_starts 4 7 0 1429368666547660
01 structure_starts 4 8 0 1429368666642924
