state	blocksMotion	legacySolid	fullOcclude	replaceable	emission	lightBlock	shapeOcclusion	notes	collisionFull
minecraft:barrier	t	t	f	f	0	0	none	barrier: noOcclusion full-collision cube	t
minecraft:chest[facing=north,type=left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:chest[facing=north,type=left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:chest[facing=north,type=right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:chest[facing=north,type=right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:chest[facing=west,type=left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:chest[facing=west,type=left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:chest[facing=west,type=right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:chest[facing=west,type=right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=false,north=false,south=false,waterlogged=false,west=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=false,north=false,south=false,waterlogged=false,west=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=false,north=false,south=false,waterlogged=true,west=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=false,north=false,south=false,waterlogged=true,west=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=false,north=false,south=true,waterlogged=true,west=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=false,north=false,south=true,waterlogged=true,west=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=false,north=true,south=false,waterlogged=true,west=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=false,north=true,south=true,waterlogged=false,west=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=false,north=true,south=true,waterlogged=true,west=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=true,north=false,south=false,waterlogged=false,west=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=true,north=false,south=false,waterlogged=true,west=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=true,north=false,south=false,waterlogged=true,west=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=true,north=false,south=true,waterlogged=false,west=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=true,north=false,south=true,waterlogged=true,west=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=true,north=false,south=true,waterlogged=true,west=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=true,north=true,south=false,waterlogged=false,west=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=true,north=true,south=false,waterlogged=true,west=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=true,north=true,south=false,waterlogged=true,west=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=true,north=true,south=true,waterlogged=false,west=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=true,north=true,south=true,waterlogged=false,west=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=true,north=true,south=true,waterlogged=true,west=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_fence[east=true,north=true,south=true,waterlogged=true,west=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
